tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
18.6,12.1,27.8,,,,,,,
19.0,11.6,26.5,,,,,,,
20.0,13.8,25.7,,,,,,,
19.2,13.8,26.0,,,,,,,
19.9,13.8,28.4,,,,,,,
20.6,12.8,,,,,,,,
20.7,13.9,,,,,,,,
20.3,14.6,,,,,,,,
19.9,,,,,,,,,
20.6,,,,,,,,,
19.2,17.0,22.0,,,279.2,23.3,,,
18.1,,,,,,,,,
17.3,13.0,24.0,,,,,,,
17.7,,,,,,,,,
17.3,,,,,,,,,
19.1,,26.4,,,,,,,
22.8,,27.7,,,,,,,
21.3,20.0,27.0,,,,,,,
21.4,,28.8,,,,,,,
20.1,15.9,25.4,,,,,,,
19.9,14.8,24.8,,,,,,,
19.2,15.8,24.0,,,,,,,
19.1,13.5,,,,,,,,
19.2,14.5,25.0,,,237.9,12.9,,,
17.7,12.0,22.8,,,,,,,
16.8,10.5,25.1,,,,,,,
19.6,10.0,28.7,,,,,,,
22.8,18.0,28.5,,,104.6,17.2,,,
23.5,18.5,29.1,,,,,,,
19.5,,23.4,,,,,,,
17.7,14.0,24.1,,,,,,,
18.6,11.9,23.5,,,,,,,
20.0,14.7,25.1,,,236.0,18.6,,,
18.9,16.0,22.0,,,270.4,25.6,,,
16.8,11.4,24.4,,,,,,,
17.3,9.9,23.4,,,,11.4,,,
17.5,12.5,23.8,,,,,,,
19.3,11.9,27.3,,,,,,,
18.2,17.0,21.0,,,,22.2,,,
17.2,,21.6,,,,,,,
17.2,,22.7,,,,,,,
16.7,9.4,24.2,,,,,,,
16.8,12.8,24.2,,,,,,,
19.1,10.0,9.8,,,,,,,
20.4,,29.0,,,,,,,
19.2,12.0,26.4,,,,,,,
17.8,11.6,25.8,,,,,,,
19.1,12.2,27.3,,,,,,,
19.9,15.9,25.4,,,,,,,
19.2,14.8,24.8,,,,,,,
18.4,12.7,23.4,,,,,,,
18.0,13.9,25.4,,,,,,,
18.1,,,,,,,,,
20.6,13.3,29.2,,,59.1,12.3,,,
21.6,16.0,30.3,,,,,,,
22.2,14.4,32.0,,,,,,,
24.6,17.8,30.8,,,,,,,
22.6,17.2,32.1,,,,,,,
23.1,16.1,31.7,,,,,,,
21.8,16.2,28.8,,,237.4,11.3,,,
21.1,15.5,27.9,,,209.9,14.7,,,
21.9,14.0,30.0,,,,,,,
20.1,18.6,23.0,,,269.2,28.5,,,
18.4,14.3,25.5,,,,,,,
18.5,14.4,22.2,,,,,,,
19.6,15.0,25.4,,,,,,,
19.0,13.3,25.4,,,,,,,
21.3,,31.5,,,,,,,
22.2,14.7,31.0,,,,,,,
20.3,16.7,25.6,,,,,,,
19.7,14.9,24.6,,,,,,,
18.7,13.7,24.2,,,228.7,19.0,,,
19.4,13.3,26.7,,,206.8,15.1,,,
19.7,13.5,27.1,,,,,,,
21.0,13.9,31.4,,,,,,,
20.9,15.3,27.8,,,,,,,
20.5,14.9,29.1,,,,,,,
23.2,,33.9,,,,,,,
26.7,17.6,37.3,,,,,,,
22.7,17.7,28.9,,,,,,,
23.6,16.7,33.2,,,,,,,
24.2,,36.8,,,,,,,
27.4,15.6,38.3,,,,,,,
28.8,19.9,38.0,,,,,,,
25.8,19.4,32.0,,,,,,,
25.9,18.1,35.8,,,,,,,
23.1,19.5,27.4,,,,,,,
22.1,,27.7,0.8,,,,,,
21.3,15.6,27.1,,,,12.5,,,
20.4,14.6,26.5,,,215.5,15.6,,,
20.7,12.2,29.3,,,,,,,
22.1,11.7,30.9,,,,,,,
23.4,16.7,31.3,,,,,,,
23.7,15.0,32.7,,,,,,,
25.9,17.0,36.3,,,,,,,
26.9,19.6,36.2,,,,,,,
27.1,20.7,34.6,,,,,,,
26.4,19.8,34.4,,,,,,,
24.7,16.5,32.7,,,,,,,
23.9,19.8,36.1,,,,,,,
27.7,15.2,37.2,,,,,,,
27.5,21.0,35.8,,,,,,,
26.2,,33.7,,,,,,,
26.2,18.9,34.3,,,,,,,
25.9,19.6,35.3,,,,,,,
27.8,19.0,40.1,,,,,,,
29.6,19.0,43.0,,,,,,,
29.3,,42.5,,,,,,,
29.6,20.8,40.3,,,,,,,
27.4,,38.3,,,,,,,
31.6,21.3,,,,,,,,
31.0,21.9,39.7,,,,,,,
31.3,22.6,39.5,,,,,,,
31.9,24.0,43.0,,,,,,,
31.3,24.5,43.1,,,,,,,
32.8,24.6,39.6,,,,,,,
32.6,,40.1,,,,,,,
32.0,25.0,39.7,,,,,,,
32.1,23.5,38.6,,,,,,,
31.2,24.0,38.2,,,,,,,
32.1,24.0,40.6,,,,,,,
32.8,24.5,41.3,,,,,,,
31.4,26.4,38.0,,,,,,,
30.3,25.6,38.4,,,,,,,
29.2,23.0,36.5,,,216.0,14.1,,,
29.4,20.9,37.0,,,,,,,
30.3,20.4,39.0,,,,,,,
30.3,22.0,37.0,,,,,,,
31.7,24.2,41.0,,,205.4,15.9,,,
31.9,23.8,40.9,,,216.9,13.5,,,
30.6,25.3,37.9,,,215.8,16.9,,,
31.3,25.6,37.0,,,213.8,16.8,,,
32.1,25.3,38.8,,,,,,,
29.1,23.0,35.7,,,221.4,16.8,,,
28.1,21.7,38.0,,,,,,,
28.8,20.9,35.5,,,,,,,
30.1,23.0,38.8,,,,,,,
30.3,24.1,36.1,,,220.9,16.6,,,
30.7,25.0,38.1,,,220.6,15.8,,,
31.3,23.4,41.2,,,212.2,15.1,,,
32.6,23.9,40.5,,,222.3,14.8,,,
33.1,25.7,41.9,,,,,,,
31.9,26.0,42.5,,,220.2,13.1,,,
31.7,23.3,40.8,,,218.0,13.7,,,
30.7,23.7,39.5,,,,,,,
29.8,20.0,37.4,,,,,,,
30.7,,39.6,,,,,,,
31.4,21.8,41.0,,,,,,,
31.4,23.8,42.8,,,,,,,
31.2,21.8,38.4,,,,,,,
32.0,22.3,42.5,,,,,,,
33.4,24.7,41.2,,,,,,,
31.4,25.0,41.4,,,,,,,
29.1,20.5,40.7,,,,,,,
32.9,21.0,43.6,,,,,,,
33.8,24.6,45.5,,,,,,,
33.9,26.8,41.5,,,219.8,14.6,,,
32.1,26.6,41.7,,,,,,,
31.4,26.6,39.1,,,,,,,
32.2,22.0,39.3,,,225.4,13.2,,,
32.0,25.3,40.6,,,221.5,13.8,,,
31.6,25.4,40.5,,,211.7,16.0,,,
